CRIME	There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV
CRIME	Rachel Dolezal Faces Felony Charges For Welfare Fraud
CRIME	Man Faces Charges After Pulling Knife, Stun Gun On Muslim Students At McDonald's
CRIME	2 People Injured In Indiana School Shooting
CRIME	Maryland Police Charge 3 Church Leaders With Past Abuse Of At-Risk Teen Girls
CRIME	Florida Police Report 2 Dead After Standoff At Panama City Apartment Complex
CRIME	'This Isn’t Pakistan, Bitch': Video Captures Driver’s Racist Rant
CRIME	These Are The Victims Of The Santa Fe High School Shooting
CRIME	Hospice Overdosed Patients To 'Hasten Their Deaths,' Former Health Care Executive Admits
CRIME	Former WWF Wrestler Severely Beaten Outside California Home
CRIME	Manhattan District Attorney Vows To Stop Prosecuting Minor Marijuana Cases
CRIME	Larry Nassar Blames His Victims, Says He 'Was Victimized' In Newly Released Videos
CRIME	Video Shows 8-Year-Old With Autism Taunted, Abused By Bus Driver
CRIME	Suspect In Custody After Shooting At California High School, 1 Injured
CRIME	Accused Golden State Killer Faces Four Additional Murder Counts
CRIME	7 Killed In What May Be Australia's Worst Mass Shooting Since 1996
CRIME	Police Search Suspected Serial Killer's Dumping Ground
CRIME	Nurse Charged In Death Of Ex-Trump Adviser H.R. McMaster's Father
CRIME	Girls, 10 and 11, Accused Of Plotting To Kill Classmate
CRIME	Woman Alleges Rapper Young Lo Raped Her While She Was Trapped In Chris Brown's Home
CRIME	S.C. Man Wanted White Supremacists To Kill Black Neighbor, Burn Cross In His Yard: FBI
CRIME	George Zimmerman Accused Of Stalking Detective Working On Trayvon Martin Film
CRIME	Police Hope To Use DNA To Catch The Zodiac Killer
CRIME	138 Were Killed Last Year In Record Number Of U.S. 'Active Shooter' Attacks
CRIME	Georgia Highway Sniper 'Idolized' Parkland Shooter, Police Say
CRIME	Man Who Killed Indian Immigrant Sentenced To Life In Prison
CRIME	Badass Grandpa Uses Fancy Footwork To Trip Armed Suspect Fleeing From Cops
CRIME	Gang Used Drone Swarm To Thwart FBI Hostage Raid
CRIME	1 Person Dead After Shooting At Nashville, Tennessee, Mall
CRIME	1 Person Found Dead After Explosion Rocks Site Of Alleged Domestic Hostage Situation
CRIME	Camille Cosby Says Husband's Guilty Verdict Is 'Mob Justice' In Bizarre Statement
CRIME	Bodycam Video Of Police Entering Las Vegas Shooter's Hotel Room Finally Released
CRIME	Veterinarian Accused Of Smuggling Heroin Inside Puppies' Bellies
CRIME	Parkland Suspect’s Brother Jailed On Probation Violation Charge
CRIME	White Supremacist Found Guilty In Charlottesville Beating Of Black Man
CRIME	9 Dead After C-130 Military Cargo Plane Crashes In Georgia
